"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0050776","GO:0050776","regulation of immune response",50,0.527462116195884,2.51293582240248,0.00114678899082569,0.0192675159235669,0.0149737400826908,106,"tags=58%, list=25%, signal=49%","660/2209/2529/3684/8547/2210/387357/2268/7097/2207/84106/8993/51311/6556/11213/3848/9173/4057/3497/5169/8809/246778/246/2215/383/2358/4332/11027/30817"
"GO:0006955","GO:0006955","immune response",94,0.437971714971196,2.32980898494566,0.0010989010989011,0.0192675159235669,0.0149737400826908,148,"tags=57%, list=35%, signal=48%","660/2209/5806/2529/8291/3684/8547/2210/387357/2268/7097/23601/2207/84106/8993/51311/6036/3577/8807/6556/11213/2919/3848/28804/9173/4057/3497/5553/5169/8809/246778/246/2215/200315/383/2358/4332/5008/11027/30817/7940/8740/28773/6846/728/604/28785/3557/3552/3579/6037/3055/439996/28775"
"GO:0002252","GO:0002252","immune effector process",36,0.52010509367805,2.29644211796423,0.00119331742243437,0.0192675159235669,0.0149737400826908,106,"tags=58%, list=25%, signal=48%","2209/5806/2529/8291/3684/8547/2268/2207/84106/8993/51311/6556/11213/3848/3497/5169/8809/246778/383/11027/30817"
"GO:0006909","GO:0006909","phagocytosis",24,0.574743179854293,2.27329878285753,0.00126742712294043,0.0192675159235669,0.0149737400826908,26,"tags=42%, list=6%, signal=41%","2209/5806/1053/8291/3684/8547/2268/7097/2207/22918"
"GO:0006952","GO:0006952","defense response",82,0.428888293406709,2.25088231820878,0.00109289617486339,0.0192675159235669,0.0149737400826908,146,"tags=57%, list=35%, signal=46%","2209/5806/2529/1053/3684/8547/2268/7097/23601/2207/91662/8993/51311/6036/50507/8807/6556/11213/2919/3848/9173/4057/3497/5553/5169/8809/246778/246/3624/200315/383/2358/4332/5008/11027/30817/6846/728/604/5732/3557/3552/3579/6037/3055/8288/439996"
"GO:0002376","GO:0002376","immune system process",125,0.399628365680839,2.21823839534692,0.00106496272630458,0.0192675159235669,0.0149737400826908,219,"tags=72%, list=52%, signal=49%","660/2209/5806/2529/1053/8291/3684/8547/2210/387357/2268/7097/23601/2207/91662/22918/84106/8993/51311/126014/6036/3577/8807/6556/11213/2919/1084/79890/3848/28804/9173/4057/3497/5553/5169/8809/246778/246/2215/3624/200315/120425/383/2358/4332/5008/11027/30817/7940/8740/212/28773/6846/728/604/51327/28785/3557/3552/3579/6037/3055/8288/439996/28775/1178/55647/87/124599/911/7791/58191/10581/2219/51676/114548/8876/2212/6521/1906/654346/115352/8477/199/2038/3274/3566/7480/3433/3142"
"GO:0002682","GO:0002682","regulation of immune system process",72,0.426372402297924,2.18456722815105,0.00109529025191676,0.0192675159235669,0.0149737400826908,125,"tags=51%, list=30%, signal=44%","660/2209/2529/3684/8547/2210/387357/2268/7097/2207/84106/8993/51311/6556/11213/1084/79890/3848/9173/4057/3497/5169/8809/246778/246/2215/3624/383/2358/4332/11027/30817/7940/8740/6846/728/604"
"GO:0009617","GO:0009617","response to bacterium",36,0.488946285460359,2.15886530818784,0.00119331742243437,0.0192675159235669,0.0149737400826908,145,"tags=67%, list=35%, signal=48%","1053/2268/7097/2207/8993/116844/10804/6556/11213/2919/4057/3497/5553/246778/5836/383/2358/11027/728/5732/3552/6037/3055/8288"
"GO:0009605","GO:0009605","response to external stimulus",106,0.390303911955234,2.1194751495831,0.00107874865156419,0.0192675159235669,0.0149737400826908,146,"tags=52%, list=35%, signal=45%","146225/2209/5806/2529/1053/3684/8547/2268/7097/23601/5329/2207/91662/8993/116844/51311/6036/10501/10804/2153/3577/6556/11213/2919/79890/3848/9173/4057/3497/5553/5169/246778/2180/246/200315/120425/5836/383/2358/4332/5008/11027/30817/8740/6846/728/1012/604/5732/3552/3579/6037/3055/8288/439996"
"GO:0002764","GO:0002764","immune response-regulating signaling pathway",23,0.540464454799318,2.11567174937807,0.00127388535031847,0.0192675159235669,0.0149737400826908,103,"tags=61%, list=25%, signal=49%","660/2210/387357/2268/7097/2207/84106/51311/11213/4057/3497/2358/4332/11027"
