"","SYMBOL","GENEID"
"1","FGR","ENSG00000000938"
"2","WNT16","ENSG00000002745"
"3","SLC4A1","ENSG00000004939"
"4","GAS7","ENSG00000007237"
"5","TKTL1","ENSG00000007350"
"6","PGLYRP1","ENSG00000008438"
"7","PLAUR","ENSG00000011422"
"8","LTF","ENSG00000012223"
"9","ACPP","ENSG00000014257"
"10","SLC11A1","ENSG00000018280"
"11","INSRR","ENSG00000027644"
"12","TNFRSF1B","ENSG00000028137"
"13","DAPK2","ENSG00000035664"
"14","USP2","ENSG00000036672"
"15","RAB27B","ENSG00000041353"
"16","PRSS8","ENSG00000052344"
"17","COL11A1","ENSG00000060718"
"18","ATP2C2","ENSG00000064270"
"19","ERBB3","ENSG00000065361"
"20","GAL","ENSG00000069482"
"21","ACTN1","ENSG00000072110"
"22","IPCEF1","ENSG00000074706"
"23","FOSL2","ENSG00000075426"
"24","RGS11","ENSG00000076344"
"25","NMRK2","ENSG00000077009"
"26","RARB","ENSG00000077092"
"27","IL4R","ENSG00000077238"
"28","SPAG6","ENSG00000077327"
"29","SMC1B","ENSG00000077935"
"30","EDN1","ENSG00000078401"
"31","ATP8B1","ENSG00000081923"
"32","FYB","ENSG00000082074"
"33","COL16A1","ENSG00000084636"
"34","FCN1","ENSG00000085265"
"35","IGSF9","ENSG00000085552"
"36","FOLH1","ENSG00000086205"
"37","HBQ1","ENSG00000086506"
"38","NOX4","ENSG00000086991"
"39","RFX2","ENSG00000087903"
"40","IRAK3","ENSG00000090376"
"41","NLRC4","ENSG00000091106"
"42","CEBPE","ENSG00000092067"
"43","H2AFY2","ENSG00000099284"
"44","OSM","ENSG00000099985"
"45","UPB1","ENSG00000100024"
"46","SEZ6L","ENSG00000100095"
"47","TSPO","ENSG00000100300"
"48","PYGL","ENSG00000100504"
"49","RIN3","ENSG00000100599"
"50","ASB2","ENSG00000100628"
"51","SIRPB1","ENSG00000101307"
"52","HCK","ENSG00000101336"
